DATE,A939RX0Q048SBEA,FNDEFX,FDEFX,GCE,SLCE
1960-01-01,19614.0,10.957,60.024,116.951,45.97
1960-04-01,19392.0,11.544,59.522,118.38,47.314
1960-07-01,19390.0,12.198,61.963,122.419,48.258
1960-10-01,19065.0,13.197,62.094,124.33,49.039
1961-01-01,19130.0,11.888,63.393,126.218,50.936
1961-04-01,19380.0,12.817,63.357,127.254,51.08
1961-07-01,19670.0,13.175,64.961,129.961,51.825
1961-10-01,19970.0,13.464,66.462,133.516,53.591
1962-01-01,20254.0,14.167,69.164,137.107,53.776
1962-04-01,20366.0,15.211,68.916,138.426,54.299
1962-07-01,20536.0,16.573,70.445,142.052,55.033
1962-10-01,20521.0,17.318,70.278,143.562,55.966
1963-01-01,20677.0,16.82,69.388,143.724,57.517
1963-04-01,20842.0,16.868,68.896,144.132,58.368
1963-07-01,21219.0,19.03,70.846,149.927,60.051
1963-10-01,21276.0,18.773,70.88,150.989,61.336
1964-01-01,21657.0,19.702,70.383,152.554,62.469
1964-04-01,21824.0,20.75,69.375,154.314,64.189
1964-07-01,22085.0,20.694,70.153,156.033,65.186
1964-10-01,22075.0,20.967,69.002,156.152,66.184
1965-01-01,22547.0,21.462,68.031,157.025,67.532
1965-04-01,22770.0,21.953,68.163,159.808,69.692
1965-07-01,23198.0,23.319,71.157,166.761,72.285
1965-10-01,23656.0,23.718,74.979,172.619,73.922
1966-01-01,24172.0,23.722,77.48,177.032,75.83
1966-04-01,24191.0,24.875,79.135,181.659,77.649
1966-07-01,24321.0,24.321,85.613,189.466,79.533
1966-10-01,24446.0,23.498,87.657,193.621,82.466
1967-01-01,24602.0,25.703,92.232,202.588,84.654
1967-04-01,24556.0,24.419,93.499,203.811,85.893
1967-07-01,24719.0,24.302,96.659,208.379,87.418
1967-10-01,24836.0,25.465,97.745,213.293,90.084
1968-01-01,25288.0,25.947,100.462,219.749,93.34
1968-04-01,25652.0,25.639,101.515,223.637,96.483
1968-07-01,25781.0,27.068,101.469,227.37,98.832
1968-10-01,25813.0,27.769,101.98,231.347,101.598
1969-01-01,26162.0,28.346,101.262,233.705,104.096
1969-04-01,26181.0,28.922,100.86,236.859,107.076
1969-07-01,26281.0,29.944,103.448,242.535,109.143
1969-10-01,26076.0,29.291,102.7,242.838,110.848
1970-01-01,25973.0,30.723,102.837,247.889,114.33
1970-04-01,25929.0,32.156,99.604,249.143,117.383
1970-07-01,26079.0,32.446,99.914,254.584,122.224
1970-10-01,25710.0,33.054,100.486,258.708,125.168
1971-01-01,26328.0,33.869,99.478,261.905,128.558
1971-04-01,26394.0,36.412,97.839,266.118,131.867
1971-07-01,26529.0,38.171,97.432,269.783,134.18
1971-10-01,26510.0,37.481,97.231,272.067,137.355
1972-01-01,26932.0,40.055,101.361,282.228,140.811
1972-04-01,27478.0,40.925,103.31,286.464,142.229
1972-07-01,27666.0,41.036,97.727,284.316,145.552
1972-10-01,28055.0,41.711,100.456,291.749,149.582
1973-01-01,28687.0,42.918,103.436,299.571,153.217
1973-04-01,28935.0,43.162,103.355,302.709,156.192
1973-07-01,28711.0,43.746,100.495,304.189,159.949
1973-10-01,28913.0,44.374,103.255,312.593,164.963
1974-01-01,28606.0,46.492,106.194,324.586,171.899
1974-04-01,28613.0,46.05,108.827,334.957,180.08
1974-07-01,28270.0,50.083,110.321,346.71,186.306
1974-10-01,28088.0,53.136,114.235,359.228,191.858
1975-01-01,27690.0,53.566,115.068,370.138,201.504
1975-04-01,27821.0,55.144,114.248,373.408,204.016
1975-07-01,28214.0,56.123,119.996,385.394,209.275
1975-10-01,28520.0,58.18,122.592,395.571,214.799
1976-01-01,29099.0,58.681,122.92,401.291,219.691
1976-04-01,29250.0,59.075,123.427,400.985,218.482
1976-07-01,29335.0,59.71,125.164,403.517,218.643
1976-10-01,29469.0,61.926,128.298,410.818,220.595
1977-01-01,29749.0,62.644,131.586,421.202,226.972
1977-04-01,30254.0,64.804,134.126,431.362,232.431
1977-07-01,30713.0,66.552,135.347,438.014,236.115
1977-10-01,30626.0,69.725,136.574,446.749,240.45
1978-01-01,30653.0,70.065,138.73,452.589,243.794
1978-04-01,31757.0,72.837,144.166,472.288,255.284
1978-07-01,31982.0,74.763,147.31,484.229,262.155
1978-10-01,32318.0,77.299,150.519,496.241,268.423
1979-01-01,32294.0,77.944,153.738,501.818,270.136
1979-04-01,32244.0,78.962,158.616,516.508,278.929
1979-07-01,32386.0,81.006,162.687,533.106,289.412
1979-10-01,32366.0,82.034,167.308,547.775,298.433
1980-01-01,32377.0,85.887,175.177,568.781,307.717
1980-04-01,31621.0,94.553,181.961,588.547,312.033
1980-07-01,31489.0,92.291,183.794,592.169,316.083
1980-10-01,31990.0,93.128,192.687,608.893,323.079
1981-01-01,32550.0,97.06,200.158,633.35,336.132
1981-04-01,32236.0,101.675,210.235,648.673,336.763
1981-07-01,32533.0,101.284,216.164,657.774,340.326
1981-10-01,32095.0,102.413,226.93,677.727,348.384
1982-01-01,31529.0,102.269,232.589,688.104,353.247
1982-04-01,31603.0,100.683,242.237,703.093,360.173
1982-07-01,31402.0,102.318,249.191,717.344,365.835
1982-10-01,31337.0,106.457,257.601,737.351,373.293
1983-01-01,31686.0,108.964,261.538,747.852,377.351
1983-04-01,32340.0,111.75,268.573,761.061,380.739
1983-07-01,32906.0,119.909,274.538,782.216,387.769
1983-10-01,33513.0,100.588,283.571,775.099,390.94
1984-01-01,34103.0,104.549,287.855,794.021,401.617
1984-04-01,34622.0,114.371,293.927,819.132,410.833
1984-07-01,34871.0,115.65,298.336,835.72,421.734
1984-10-01,35072.0,117.593,314.936,862.769,430.24
1985-01-01,35346.0,120.866,313.912,875.592,440.814
1985-04-01,35582.0,123.611,323.695,900.527,453.221
1985-07-01,36033.0,125.458,337.653,927.363,464.252
1985-10-01,36210.0,123.697,342.744,938.584,472.143
1986-01-01,36476.0,124.847,339.119,946.803,482.837
1986-04-01,36563.0,127.021,350.78,967.519,489.718
1986-07-01,36822.0,130.807,364.25,993.597,498.54
1986-10-01,36931.0,134.518,355.289,996.385,506.577
1987-01-01,37132.0,130.653,361.483,1008.681,516.544
1987-04-01,37454.0,130.199,370.996,1025.219,524.024
1987-07-01,37685.0,126.334,377.779,1036.195,532.082
1987-10-01,38238.0,134.415,379.281,1056.024,542.329
1988-01-01,38359.0,127.345,378.436,1056.893,551.112
1988-04-01,38782.0,127.115,379.824,1070.421,563.482
1988-07-01,38908.0,128.382,379.017,1078.19,570.792
1988-10-01,39328.0,134.513,391.126,1109.916,584.277
1989-01-01,39648.0,137.773,382.083,1116.559,596.703
1989-04-01,39861.0,142.847,391.481,1145.809,611.481
1989-07-01,40046.0,144.168,397.241,1164.58,623.172
1989-10-01,40015.0,146.716,394.108,1180.5,639.677
1990-01-01,40361.0,151.79,401.891,1212.45,658.769
1990-04-01,40382.0,158.241,405.694,1230.721,666.786
1990-07-01,40266.0,160.005,402.23,1242.584,680.349
1990-10-01,39759.0,159.442,410.213,1268.467,698.812
1991-01-01,39451.0,163.455,417.916,1284.187,702.816
1991-04-01,39632.0,167.937,418.707,1296.577,709.933
1991-07-01,39691.0,170.221,416.103,1306.265,719.941
1991-10-01,39694.0,173.97,403.436,1308.774,731.368
1992-01-01,40051.0,177.866,402.466,1326.421,746.089
1992-04-01,40350.0,179.237,401.666,1334.807,753.904
1992-07-01,40599.0,181.846,412.354,1353.997,759.796
1992-10-01,40881.0,189.004,409.372,1362.775,764.399
1993-01-01,40829.0,187.111,393.179,1351.818,771.529
1993-04-01,40942.0,187.576,389.16,1359.066,782.33
1993-07-01,40997.0,189.141,389.6,1367.411,788.67
1993-10-01,41423.0,190.265,394.644,1381.394,796.484
1994-01-01,41713.0,190.631,376.415,1373.35,806.303
1994-04-01,42154.0,189.44,379.934,1389.392,820.018
1994-07-01,42264.0,192.241,394.277,1423.432,836.915
1994-10-01,42618.0,197.966,377.83,1422.923,847.127
1995-01-01,42654.0,198.963,380.103,1437.596,858.53
1995-04-01,42660.0,199.125,381.884,1452.892,871.882
1995-07-01,42885.0,201.095,378.242,1455.659,876.322
1995-10-01,43044.0,198.908,368.407,1451.575,884.26
1996-01-01,43259.0,201.276,378.552,1471.295,891.466
1996-04-01,43856.0,201.336,380.806,1487.662,905.521
1996-07-01,44105.0,201.624,376.132,1496.733,918.978
1996-10-01,44421.0,203.356,373.556,1515.702,938.789
1997-01-01,44590.0,207.913,362.792,1515.985,945.281
1997-04-01,45203.0,211.377,375.804,1542.541,955.361
1997-07-01,45616.0,213.712,372.335,1555.224,969.177
1997-10-01,45862.0,212.194,377.03,1574.782,985.558
1998-01-01,46204.0,215.533,356.631,1568.029,995.865
1998-04-01,46504.0,217.749,369.316,1603.691,1016.626
1998-07-01,46943.0,211.996,376.634,1627.262,1038.633
1998-10-01,47555.0,221.772,372.43,1647.452,1053.249
1999-01-01,47880.0,222.915,372.226,1669.139,1073.998
1999-04-01,48148.0,224.349,374.897,1694.757,1095.511
1999-07-01,48632.0,227.593,386.565,1733.984,1119.826
1999-10-01,49281.0,235.016,399.328,1781.74,1147.396
2000-01-01,49335.0,236.34,383.028,1789.895,1170.527
2000-04-01,50109.0,241.587,399.592,1822.524,1181.346
2000-07-01,50024.0,242.533,391.017,1832.078,1198.528
2000-10-01,50190.0,241.538,396.642,1861.253,1223.073
2001-01-01,49911.0,248.821,404.456,1906.253,1252.976
2001-04-01,50105.0,256.209,410.022,1947.731,1281.501
2001-07-01,49774.0,259.028,415.419,1953.408,1278.961
2001-10-01,49783.0,264.142,422.75,1992.742,1305.85
2002-01-01,50091.0,273.128,440.905,2040.01,1325.978
2002-04-01,50286.0,282.281,452.478,2074.482,1339.723
2002-07-01,50362.0,288.161,460.19,2101.256,1352.905
2002-10-01,50302.0,293.089,482.157,2142.232,1366.986
2003-01-01,50462.0,297.749,494.975,2172.01,1379.285
2003-04-01,50796.0,304.041,521.93,2198.793,1372.822
2003-07-01,51512.0,309.245,524.011,2220.432,1387.175
2003-10-01,51986.0,311.159,543.967,2251.164,1396.039
2004-01-01,52179.0,315.651,556.149,2286.594,1414.794
2004-04-01,52469.0,321.722,562.839,2320.682,1436.121
2004-07-01,52835.0,321.81,580.699,2356.371,1453.862
2004-10-01,53242.0,329.797,579.825,2388.847,1479.225
2005-01-01,53719.0,333.409,598.417,2426.138,1494.312
2005-04-01,53868.0,333.297,605.982,2452.246,1512.967
2005-07-01,54153.0,340.004,616.39,2494.438,1538.045
2005-10-01,54317.0,346.69,616.96,2528.432,1564.782
2006-01-01,54927.0,361.348,635.719,2580.086,1583.019
2006-04-01,54945.0,357.209,639.956,2610.565,1613.401
2006-07-01,54886.0,363.072,632.375,2630.28,1634.833
2006-10-01,55216.0,359.871,655.208,2674.454,1659.375
2007-01-01,55260.0,362.94,654.605,2718.491,1700.946
2007-04-01,55474.0,368.371,674.082,2769.958,1727.505
2007-07-01,55649.0,374.417,684.421,2808.718,1749.881
2007-10-01,55857.0,381.316,703.947,2865.057,1779.794
2008-01-01,55497.0,389.969,721.214,2909.64,1798.456
2008-04-01,55705.0,404.394,742.246,2971.642,1825.002
2008-07-01,55278.0,403.975,766.263,3029.032,1858.795
2008-10-01,53941.0,408.161,771.619,3021.826,1842.046
2009-01-01,53221.0,419.802,765.428,3022.047,1836.817
2009-04-01,53017.0,430.574,782.914,3070.452,1856.964
2009-07-01,53081.0,435.452,792.801,3092.058,1863.804
2009-10-01,53531.0,447.051,809.117,3120.796,1864.628
2010-01-01,53683.0,460.851,817.507,3133.819,1855.46
2010-04-01,54100.0,477.003,828.047,3165.768,1860.719
2010-07-01,54401.0,475.444,828.9,3158.301,1853.957
2010-10-01,54569.0,475.449,837.429,3164.317,1851.438
2011-01-01,54341.0,474.387,831.587,3155.768,1849.794
2011-04-01,54610.0,469.696,843.03,3168.261,1855.536
2011-07-01,54482.0,453.676,834.975,3136.922,1848.272
2011-10-01,54979.0,465.382,826.319,3130.765,1839.065
2012-01-01,55342.0,472.015,824.076,3144.024,1847.934
2012-04-01,55490.0,472.582,816.01,3130.438,1841.846
2012-07-01,55454.0,473.575,820.214,3139.112,1845.323
2012-10-01,55403.0,473.169,796.401,3132.308,1862.739
2013-01-01,55859.0,465.399,774.681,3123.454,1883.375
2013-04-01,55914.0,461.978,770.584,3131.143,1898.582
2013-07-01,56272.0,461.98,757.661,3135.192,1915.551
2013-10-01,56642.0,462.904,754.351,3140.517,1923.263
2014-01-01,56345.0,467.95,744.986,3139.06,1926.125
2014-04-01,56968.0,468.566,742.42,3154.366,1943.38
2014-07-01,57536.0,475.607,755.041,3191.749,1961.101
2014-10-01,57702.0,479.954,733.767,3189.253,1975.532
2015-01-01,58121.0,486.035,730.203,3187.915,1971.677
2015-04-01,58376.0,488.839,733.548,3234.067,2011.68
2015-07-01,58486.0,495.669,726.729,3253.554,2031.156
2015-10-01,58470.0,499.077,731.007,3258.142,2028.059
2016-01-01,58704.0,503.103,726.546,3270.141,2040.492
2016-04-01,58787.0,506.813,723.171,3289.566,2059.583
2016-07-01,59084.0,508.202,733.097,3315.171,2073.872
2016-10-01,59296.0,513.558,734.923,3337.245,2088.764
2017-01-01,59494.0,513.848,735.242,3353.096,2104.006
2017-04-01,59736.0,512.355,747.5,3370.444,2110.589
2017-07-01,60099.0,517.351,747.231,3398.886,2134.304
2017-10-01,60674.0,527.489,763.2,3466.137,2175.447
2018-01-01,61093.0,543.048,773.144,3513.876,2197.683
2018-04-01,61336.0,548.969,785.757,3570.715,2235.988
2018-07-01,61622.0,556.455,802.455,3626.086,2267.176
2018-10-01,61619.0,556.448,818.904,3650.847,2275.495
2019-01-01,61889.0,561.338,839.752,3704.546,2303.457
2019-04-01,62331.0,570.487,841.572,3768.165,2356.105
2019-07-01,62945.0,576.144,857.418,3821.476,2387.914
2019-10-01,63257.0,576.279,865.676,3865.345,2423.389
2020-01-01,62333.0,588.716,876.015,3943.653,2478.922
2020-04-01,57386.0,694.194,875.598,4021.065,2451.273
2020-07-01,61806.0,646.614,881.115,3995.986,2468.257
2020-10-01,62414.0,625.654,905.761,4018.324,2486.909
2021-01-01,63227.0,711.343,898.599,4143.85,2533.908
2021-04-01,64157.0,691.213,897.244,4160.188,2571.731
2021-07-01,64615.0,677.157,899.265,4201.529,2625.107
2021-10-01,65651.0,703.245,899.213,4266.648,2664.191
2022-01-01,65286.0,699.054,902.633,4321.404,2719.717
2022-04-01,65127.0,687.739,924.526,4415.676,2803.411
2022-07-01,65462.0,705.922,930.402,4477.855,2841.53
2022-10-01,65783.0,735.533,956.233,4572.408,2880.642
2023-01-01,66078.0,761.926,968.723,4643.89,2913.242
2023-04-01,66341.0,765.466,978.863,4669.808,2925.479
